Date,Open,High,Low,Close,Volume
2024-02-15,34.86000061035156,35.720001220703125,34.84000015258789,34.14468765258789,10280800
2024-02-16,35.72999954223633,35.77000045776367,35.45000076293945,33.99127197265625,7085900
2024-02-20,35.560001373291016,35.59000015258789,35.27000045776367,33.92415237426758,7849200
2024-02-21,35.40999984741211,35.77000045776367,35.279998779296875,34.23098373413086,9099500
2024-02-22,35.52000045776367,35.66999816894531,35.220001220703125,34.02962875366211,5497300
2024-02-23,35.22999954223633,35.459999084472656,35.04999923706055,33.92415237426758,6716100
2024-02-26,35.380001068115234,35.540000915527344,35.220001220703125,33.86662292480469,5200900
2024-02-27,35.54999923706055,35.63999938964844,35.31999969482422,33.962501525878906,10365600
2024-02-28,35.209999084472656,35.380001068115234,34.939998626708984,33.52143478393555,9406600
2024-02-29,35.06999969482422,35.189998626708984,34.869998931884766,33.550201416015625,9328600
2024-03-01,35.43000030517578,35.81999969482422,35.31999969482422,34.1734504699707,7269000
2024-03-04,36.0,36.02999877929688,35.61000061035156,34.20221710205078,7039700
2024-03-05,35.63999938964844,35.95000076293945,35.58000183105469,34.32686996459961,5517700
2024-03-06,36.43999862670898,36.63999938964844,36.33000183105469,34.921356201171875,12111500
2024-03-07,36.31999969482422,36.650001525878906,36.27999877929688,34.930946350097656,6869000
2024-03-08,36.59999847412109,36.68999862670898,36.2400016784668,34.91176986694336,8779900
2024-03-11,36.15999984741211,36.4900016784668,35.959999084472656,34.98847579956055,7315500
2024-03-12,36.70000076293945,36.7400016784668,36.4900016784668,35.14189529418945,5561400
2024-03-13,37.0,37.38999938964844,37.0,35.78432083129883,8308000
2024-03-14,37.43999862670898,37.5099983215332,37.13999938964844,35.94733047485352,6310000
2024-03-15,37.58000183105469,37.79999923706055,37.400001525878906,35.94733047485352,6677900
2024-03-18,37.7400016784668,37.93999862670898,37.470001220703125,36.2349853515625,5722200
2024-03-19,37.77000045776367,38.040000915527344,37.7400016784668,36.28292465209961,6784500
2024-03-20,37.45000076293945,38.02000045776367,37.41999816894531,36.330867767333984,5237900
2024-03-21,37.93000030517578,38.040000915527344,37.65999984741211,36.17744827270508,8087300
2024-03-22,37.869998931884766,37.869998931884766,37.65999984741211,36.244571685791016,3696200
